자치구명,시설 구분,주소,시설형태
광진구,아담당구장,"서울특별시 광진구 자양로18길 33, 지층 (구의동)",완전폐쇄형
광진구,건대 포켓볼 락큐,"서울특별시 광진구 아차산로30길 18, 2층 (자양동)",완전폐쇄형
광진구,킹콩당구장,"서울특별시 광진구 구의로 3, 지층 (구의동, 쌍용빌딩)",완전폐쇄형
광진구,에이스 당구클럽,"서울특별시 광진구 자양로22길 24, 2층 (구의동, 상우빌딩)",완전폐쇄형
광진구,글로벌 당구장,"서울특별시 광진구 자양번영로 29, 3층 (자양동)",완전폐쇄형
광진구,허리우드(8대),"서울특별시 광진구 자양번영로 33 (자양동, 성보빌딩)",완전폐쇄형
광진구,도깨비 당구장,"서울특별시 광진구 구의로 25, 지층 (구의동, 석천빌딩)",완전폐쇄형
광진구,킹스 빌리어즈 클럽,"서울특별시 광진구 아차산로 401, 3층 (구의동)",완전폐쇄형
광진구,프로당구클럽,"서울특별시 광진구 아차산로51길 39, 3층 (구의동)",완전폐쇄형
광진구,뉴메트로골프,"서울특별시 광진구 아차산로 373, 지하1층 (구의동)",완전폐쇄형
광진구,신성당구클럽,"서울특별시 광진구 자양로 49, 3층 (자양동)",완전폐쇄형
광진구,웰플러스,"서울특별시 광진구 자양로5길 33 (자양동, 와이엠프라젠스파)",완전폐쇄형
광진구,썬 당구장,"서울특별시 광진구 아차산로57길 4, 3층 (구의동)",완전폐쇄형
광진구,광진경찰서,광진구 자양로 167,완전폐쇄형
광진구,제우스PC,"서울특별시 광진구 뚝섬로24길 3, 지하층 (자양동)",완전폐쇄형
광진구,아이넷 폴리스,"서울특별시 광진구 아차산로51길 62, 2층 (구의동)",완전폐쇄형
광진구,세븐PC,"서울특별시 광진구 능동로37길 6, 지하1층 (중곡동)",완전폐쇄형
광진구,나인 PC방,"서울특별시 광진구 능동로 372, 지하1층 (중곡동)",완전폐쇄형
광진구,쇼타임 PC방 (중곡점),"서울특별시 광진구 용마산로 37, 지층 (중곡동, 이안빌딩)",완전폐쇄형
광진구,아센,"서울특별시 광진구 면목로 161 (중곡동,지하1층)",완전폐쇄형
