자치구명,위반장소,위반일시
강남구, 휴게음식점,2022
강남구, 건물(강남역센트럴푸르지오씨티),2022
강남구, 건물(강남역센트럴푸르지오씨티),2022
강남구, 대치동학원가 아트박스앞,2022
강남구, 강남대로 미진프라자 앞,2022
강남구, 강남대로,2022
강남구, 건물(강남역 센트럴푸르지오시티) ,2022
강남구, 건물(강남역 센트럴푸르지오시티) ,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 지하철역출입구,2022
강남구, 강남대로,2022
강남구, 강남대로(미진프라자),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 도곡중학교금연거리,2022
강남구, 영동대로,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 영동대로(파르나스호텔 앞),2022
강남구, 영동대로(파르나스 호텔 앞),2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 강남대로,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 지하철역출입구,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 휴게음식점,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 지하철역출입구,2022
강남구, PC방,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 수서건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 휴게음식점,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 대치동학원가,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
강남구, 강남대로,2022
강남구, 도곡중학교금연거리(강남세브란스 주변),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스 주변),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리(강남세브란스병원),2022
강남구, 영동대로,2022
강남구, 도곡중학교금연거리,2022
강남구, 코엑스 건물,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 영동대로,2022
강남구, 공원,2022
강남구, 공원,2022
강남구, 도곡중학교금연거리,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 건물,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 영동대로,2022
강남구, 영동대로,2022
강남구, 도곡중학교금연거리,2022
강남구, 영동대로,2022
강남구, 건물,2022
강남구, 휴게음식점,2022
강남구, 공원,2022
강남구, 공원,2022
강남구, 공원,2022
강남구, 강남대로,2022
강남구, 건물,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 영동대로,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
강남구, 지하철역출입구,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 건물,2022
강남구, 지하철역출입구,2022
강남구, 도곡중학교금연거리,2022
강남구, 도곡중학교금연거리,2022
