시군구명,금연구역명,금연구역범위상세,금연구역구분,금연구역지정근거명,소재지도로명주소,소재지지번주소,관리기관명,위도,경도
은평구,세븐일레븐 은평역촌동점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 갈현로11길 25, 1층 (역촌동)",서울특별시 은평구 역촌동 74-5 1층,서울특별시 은평구청,37.6049479761,126.9077926696
은평구,세븐일레븐 갈현행운점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 갈현로27길 15, 1층 (갈현동)",서울특별시 은평구 갈현동 517-1 1층,서울특별시 은평구청,37.6183680991,126.913239498
은평구,세븐일레븐 응암제일점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 가좌로10길 29, 1층 (응암동)",서울특별시 은평구 응암동 579-7 1층,서울특별시 은평구청,37.593562052,126.9168699571
은평구,GS25은평폭포점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 연서로44길 7, 412동 1층 101호 (진관동, 은평뉴타운 폭포동)",서울특별시 은평구 진관동 140 은평뉴타운 폭포동 412동 101호,서울특별시 은평구청,37.628268201,126.9355440791
은평구,노랑고래 응암점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 응암로 294, 1층 (응암동)",서울특별시 은평구 응암동 104-42 1층,서울특별시 은평구청,37.5976795524,126.9206222491
은평구,푸디트럭,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,서울특별시 은평구 녹번동 153-31 은평평화공원앞,서울특별시 은평구 녹번동 153-31 은평평화공원앞,서울특별시 은평구청,37.600511,126.933571
은평구,알리바바커피앤도넛 은평롯데몰점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 통일로 1050, 롯데몰 은평점 4층 (진관동)",서울특별시 은평구 진관동 63 롯데몰 은평점 4층,서울특별시 은평구청,37.637536674,126.9179002617
은평구,봄날,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 진관3로 77, 923동 1층 상가103호 (진관동, 은평뉴타운 구파발)",서울특별시 은평구 진관동 25 은평뉴타운 구파발 923동 상가103호,서울특별시 은평구청,37.6447082905,126.9208769181
은평구,CU갈현선정점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 갈현로23길 25, 1층 (갈현동)",서울특별시 은평구 갈현동 522-43 1층,서울특별시 은평구청,37.6175614761,126.9117026037
은평구,GS25 구파발점,업소시설전체,"식품위생법에따른 식품접객업중휴게음식점,일반음식점,제과점                                                                      ",국민건강증진법제9조,"서울특별시 은평구 진관3로 67, 905동 1층 107호 (진관동, 은평뉴타운 구파발)",서울특별시 은평구 진관동 22 은평뉴타운 구파발 905동 107호,서울특별시 은평구청,37.6427644551,126.9209326867
